Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
"cordwire somehow ""create"" noise","am, sending, wearing, create, interferes, listening",different,wire,earphone,NEGATIVE,"Unfortunately, I am sending them back for 2 different reasons: (1) When wearing the earbuds the   cordwire somehow ""create"" noise   that interferes with your music listening.  "
wire rub across the collar,"turn, listens, created, moving, see, mean, is, wearing",bad,wire,earphone,NEGATIVE,If you turn the music off completely and then just listens to the noise created by moving your head you will see what I mean  it is especially bad when wearing a jacket as the cord  wire rub across the collar   constantly.  
wire under your chin,"do, have, is, run, tighten",bad,wire,earphone,NEGATIVE,"I do however have some pain points: First, the ""stethoscope"" effect is actually quite bad unless you run the headset under your shirt andor tighten the   wire under your chin  .  "
wire got torn,"Sounds, got, torn, cause, gets",right,wire,earphone,NEGATIVE,"Sounds like one of the   wire got torn  , cause the right ear sometimes gets no sound.  "
"innards are exposed, wire","came, are, exposed","actual, black",wire,earphone,NEGATIVE,"The silver part with the actual speaker came loose from its black base and now the   innards are exposed, wire   and all.  "
wire bumping,"use, working, is, doing, have, held, minimize, bumping, moving",OK,wire,earphone,POSITIVE,"I use them at the gym primarily, and working out is OK  but doing cardio, I have to snake it down my back, under my tshirt, cord held down by my cardio monitor strap to minimize the sounds of the cord    wire bumping   my tshirt when moving!  "
have to bend the wire,"seemed, started, using, realized, were, compared, reducing, is, started, messing, have, bend, be, hear, is, be","good, inexpensive, other, bad, low, able, bad",wire,earphone,NEGATIVE,"These ear buds seemed good for the price but once I started using them I realized why the were so inexpensive compared to the other noise reducing ear buds the workmanship on them is pretty bad the wiring very low quality, after a week the connection started messing up and I   have to bend the wire   to be able to hear anything the sounds is not too bad again for the price but could be better.  "
wire connection to the right earbud became unreliable,"became, left, followed","right, unreliable, couple",wire,earphone,NEGATIVE,"The   wire connection to the right earbud became unreliable   after only a couple months, and the left one soon followed a month later.  "
wire broke,"liked, broke",lowerend,wire,earphone,NEGATIVE,I liked the JBuds HiFi NoiseReducing Ear Buds (the lowerend headphones from this manufacturer) until the   wire broke  .  
have to hold the wire,"stopped, working, have, hold, hear, left","right, right",wire,earphone,NEGATIVE,"However, after about 3 months the right earbud stopped working and I   have to hold the wire   just the right way to hear anything from the left earbud.  "
wiggle the wire,"happened, ve, had, have, wiggle, hold, keep","Same, right",wire,earphone,NEGATIVE,"Same thing happened, Ive had them for about 3 months now and I have to  wiggle the wire   and hold it the right way to keep any kind of sound.  "
loosewiretye buzzing,"had, buzzing","first, loosewiretye",wire,earphone,NEGATIVE,My first set had a   loosewiretye buzzing   in one ear.  
wire are thin,"have, found, fit, stated, are, fall, get, lost","good, many, thin",wire,earphone,NEGATIVE,"These earphones have good sound and I found they fit my ear nicely, but as, many reviews stated, the   wire are thin   and the rubber tips fall off and get lost.  "
wiggle the wire,"started, having, wiggle, was, getting, annoying, handle, lost","ipod, large",wire,earphone,NEGATIVE,"I started having to   wiggle the wire   on the ipod end after about 3 months and it was just getting too annoying to handle when I lost first one medium, then one large tip.  "
wire will brush up,"is, move, brush, reverberate",troubling,wire,earphone,NEGATIVE,"but the most troubling thing about these headpones is when you move your head just 1 milimeter, the   wire will brush up   against something and it will reverberate in your ears very loudly.  "
poor insulation in the wire,"HAS, be","due, poor",wire,earphone,NEGATIVE,this HAS to be due to the   poor insulation in the wire  .  
wire tore,"were, sleeping, tore, is, connected, were, torn, died",perfect,wire,earphone,NEGATIVE,they were perfect for sleeping until the   wire tore   the problem is the wire connected to the ear bud were torn out and now one ear bud died.  
disconnecting the wire,"received, broke, separated, cone, disconnecting","first, second",wire,earphone,NEGATIVE," The first pair I received broke on the second day (the earbudspeaker separated from the plastic conecasing,  disconnecting the wire  ).  "
wire near the jack I can occasionally get sound,"get, sound, come",permanent,wire,earphone,NEGATIVE,If I fiddle with the   wire near the jack I can occasionally get sound   to come out but no permanent fix.  
twist the wire,"is, designed, gets, align, twist","right, sound, right",wire,earphone,POSITIVE,The wiring isnt very well designed because my right headphone gets no more sound (unless I align and   twist the wire   in just the right angle).  
wire are stiff,"are, prevents, means, be, manipulate, want, curl, keep","stiff, difficult",wire,earphone,NEGATIVE,"The   wire are stiff  , which prevents tangling and fraying, but also means it can be difficult to manipulate them, like if you want to curl them above and behind your ears to keep them out of the way.  "
wire on these buds dont move,"do, move, kink",nice,wire,earphone,POSITIVE,The   wire on these buds dont move   as nice and will kink more.  
